App Link on Google Play,Application Name,Number of Reviews,Application Description,Number of Characters in Description,Overall Rate,First Page Reviews,Number of Characters in First Page Reviews,Last Update,Ending Date,Number of Days Since Last Update,App Size,App Installs, Version Required,,,,,,,,,,,
https://play.google.com/store/apps/details?id=cat.mnac.cat,"Museu Nacional, Barcelona (CA)",11.00,"Visita de la col•lecció d’art modern renovada el 2014, a la primera planta del museu, amb informació enriquida: textos, àudios, fotografies i vídeos. L'app, igual que la col·lecció al museu, s’estructura en 4 àmbits i un epíleg: L’artista modern, Modernisme(s), Noucentisme(s), Art i Guerra Civil i De l’avantguarda a la postguerra, que són els mateixos eixos de visita que ofereix aquesta aplicació. També podreu marcar obres preferides i compartir-les.• Visit the library collection of modern art renovated in 2014, on the first floor of the museum, with rich information: text, audio, photos and videos. The app, like the collection to the museum is divided into four areas and an epilogue: The modern artist, Modernism (s) Noucentisme (s) Art and Civil War and the postwar avant-garde which are the same areas Further provided by this application. You can also mark favorite works and share them.",900.00,3.20,"No ha funcionat He descarregat l'app, seguit les instruccions i...no ha passat res, no s'han desbloquejat les seccions no rebut cap informació. Tant de bo sigui temporal. De principi les seccions haurien d'estar desbloquejades per poder mirar al teu ritme. The app is now fully operative. Offers contextual info about the Modern Art artworks in the galleries. Good videos, particularly the one about Gaudí and the nature as inspiration for his creations. The app could do with more multimedia elements. @innova2",511.00,16/03/2016,19/03/2021,1829.00,50.00,1000.00,4.30,,,,,,,,,,,
https://play.google.com/store/apps/details?id=com.nous.ladguide.prod,Louvre Abu Dhabi – Multimedia Guide,49.00,"Enjoy this free app before and during your visit to Louvre Abu Dhabi. Download audio-guided tours to explore masterpieces from the Louvre Abu Dhabi’s permanent collection and its rotating exhibitions, and to learn about the story of the museum and its architecture. View high-resolution images of a selection of artworks exhibited in the galleries and learn more about them with texts, audio and video. You can also create a list of your favourites for future reference and share them with others. Use the interactive map to find your way around the galleries and museum spaces with geo-tracking. App available in English, Arabic and French, with options for visitors with special needs. Additional languages will soon be available. Approximately 4 GB. of data storage capacity is required on your device for the app and its content.",833.00,2.80,"Such a non-professional developer! How could they implement a 2 5 gb download without a progress bar and notification. The app just dies when going to background Very poor. No content, slow, bad UI and UX. Abu Dhabi can do so much better... Literally useless. Cannot load anything. Please change the the language option in the app so I can choose it from within the app not based on my system language setting.",410.00,23/12/2019,19/03/2021,452.00,59.00,10000.00,6.00,,,,,,,,,,,
https://play.google.com/store/apps/details?id=com.orange.tn.itlabs.bardo,Musée du Bardo,27.00,"L'application officielle du musée du Bardo, réalisée en partenariat avec Orange, vous propose de découvrir les œuvres emblématiques de ce joyau du patrimoine tunisien. A distance ou sur place, accédez à des fiches complètes sur les œuvres, des commentaires audio, une mise en perspective historique et géographique. Choisissez entre 3 parcours : découverte, mosaïque, junior. Une rubrique ""jeux"" permet aux enfants d'apprendre en s'amusant. L'application, téléchargeable gratuitement, est disponible en 3 langues, français, anglais, arabe.The official application of the Bardo Museum, in partnership with Orange, invites you to discover the emblematic works of this jewel of Tunisian heritage. Remote or on-site access to comprehensive listings of works, audio commentary, a historical and geographical perspective. Choose between 3 courses: discovery, mosaic, junior. A section ""Games"" allows children to learn while having fun. The application is a free download is available in 3 languages, French, English and Arabic.",1021.00,4.70,"Beau et fluide Application sympa et ludique qui tourne parfaitement Par contre, à faire maigrir.. Awesome",105.00,04/08/2014,19/03/2021,2419.00,41.00,500.00,2.30,,,,,,,,,,,
https://play.google.com/store/apps/details?id=com.vw.visitavirtualman,Virtual MAN,58.00,"The virtual tours of the National Archaeological Museum, a different approach to their collections that will also allow you to guide your real visit.",149.00,4.30,Great App!!!,12.00,25/10/2019,19/03/2021,511.00,32.00,5000.00,4.10,,,,,,,,,,,
https://play.google.com/store/apps/details?id=edu.si.natualhistory.deeptime,Deep Time Audio Description,9.00,"Assistive technology for blind and low-vision users to explore the new Fossil Hall at the Smithsonian National Museum of Natural History through a self-guided tour.  Discover how all life is connected–past, present, and future–to all other life and to the Earth itself. Learn more about evolution, ecosystems, and extinction from the beginning of life 3.7 billion years ago to the Age of Humans today. Features:•Screen Reader compatible•Background contrast options•Alt text and captions for all images•Zoomable text•Search featureThis app contains descriptive overviews of:•tactile models•iconic specimens such as T. rex•multimedia videos and interactives•content storiesDownload ahead of time to plan your visit, follow along in the gallery, or read afterwards. The app uses the accessibility features native to your phone.By downloading this mobile app, you agree to the Smithsonian’s Privacy Policy  (http://si.edu/privacy)NOTE: WiFi is available in all Smithsonian museums",976.00,5.00,Very useful when going through the Deep Time exhibit. Good information to guide one through the displays. Thorough and super helpful app. Loaded with lots of info!,163.00,13/11/2019,19/03/2021,492.00,12.00,100.00,4.00,,,,,,,,,,,
https://play.google.com/store/apps/details?id=com.heathwest.deepseaid,Deep Sea ID,22.00,"Deep Sea ID is a field guide interface to the World Register of Deep-Sea Species (WoRDSS) that currently stores on your device (for offline access) the taxonomic information for over 25,000 deep-sea species, over 580 high-resolution photographs of deep-sea specimens as well as links to online taxonomic tools, sources and important references. The app is designed for the scientific community but also offers a visual tour of the remarkable biodiversity of deep sea life that is of interest to educators and the general public",527.00,4.20,i got duped into thinking this would have an extensive list of the life that exists deep beneath the waves but it offered none of that 🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓,165.00,28/08/2015,19/03/2021,2030.00,50.00,1000.00,5.00,,,,,,,,,,,
https://play.google.com/store/apps/details?id=com.produktmacher.constructklee,ConstructKlee,15.00,"Sei kreativ: Zur Ausstellung PAUL KLEE. KONSTRUKTION DES GEHEIMNISSES in der Pinakothek der Moderne kommt hier die App, mit der Du Deine eigenen Bilder mit Motiven aus den Werken von Paul Klee gestalten kannst. Nutze dazu verschiedene Sticker und Filter, um Deinen persönlichen „Paul Klee“ zu konstruieren und teile deine Bilder danach mit uns und Deinen Freunden auf Instagram, Twitter und Facebook. Lass Dich dabei von den fantastischen Artificial-Intelligence-Filtern überraschen und schalte durch Deinen Besuch der Ausstellung in der Pinakothek der Moderne zusätzlich den „geheimen“ Filter frei! Probiere es gleich selbst aus, sei kreativ und begib Dich in die wunderbare Welt von Paul Klee. Werde selbst zum Künstler und überrasche Deine Freunde und Familie mit Deinen Bildern.  Und so funktioniert die App #ConstructKlee:-  Sei kreativ! Egal ob Selfie oder Landschaftsaufnahme, mit der App wird jeder Schnappschuss zum Meisterwerk. - Nimm ein Foto auf oder wähle ein Bild aus Deiner Galerie aus.-  Bearbeite das Foto mit Filtern und Stickern und verwandle es in Deinen  persönlichen „Paul Klee“.-  Highlights: Nutze zusätzlich die zwei Artificial-Intelligence-Filter und schalte zudem den „geheimen“ Filter vor Ort in der Pinakothek der Moderne frei.-  Speichere Dein Bild auf Deinem Gerät ab und lade es auf Instagram, Twitter und Facebook mit dem Hashtag #ConstructKlee hoch. Deine Freunde werden begeistert sein!Be creative: the exhibition PAUL KLEE. CONSTRUCTION OF SECRET in the Pinakothek der Moderne, the app that allows you to customize your pictures with motifs from the works of Paul Klee come here. Use to different stickers and filter to construct your personal ""Paul Klee"" and share your photos with us and then to your friends on Instagram, Twitter and Facebook. Let yourself while surprised by the fantastic Artificial Intelligence filters and unlock additional to the ""secret"" filter through your visit to the exhibition at the Pinakothek der Moderne free!Try it equal to itself, be creative, and go into the wonderful world of Paul Klee. Help yourself to the artist and surprise your friends and family with your own photos.  And so the app #ConstructKlee works:-  Be creative! Whether Selfie or landscape shot, with the app each snapshot is a masterpiece.- Take a photo or select an image from your gallery.- Edit the photo with filters and stickers and turn it into your personal ""Paul Klee"".- Highlights: Use the additional two Artificial Intelligence filters and also turn on the ""secret"" filter on site in the Pinakothek der Moderne free.- Save your image, and upload it to Instagram, Twitter and Facebook with the hashtag #ConstructKlee high on your device. Your friends will be impressed!",2718.00,4.70,❤️❤️,4.00,27/02/2018,19/03/2021,1116.00,56.00,1000.00,5.10,,,,,,,,,,,
https://play.google.com/store/apps/details?id=org.clevelandart.artlens,ArtLens,64.00,"The new version of the international award-winning ArtLens App combines the most current technology and innovative design with a wealth of interpretive content for every work of art on view at the Cleveland Museum of Art. The app’s redesigned interface is clean and intuitive and the wayfinding map is more responsive, using 252 iBeacons throughout every gallery in the museum to improve accuracy and eliminate the need for paper maps. ArtLens App uses Bluetooth technology to connect to the museum’s iconic ArtLens Wall and ArtLens Exhibition interactives. Photos taken during ArtLens Exhibition gameplay save directly to a device's camera roll. The App updates in real-time ensuring that users have access to the most accurate information available.The ArtLens App features five main categories:1. Search Search the CMA's collection by artist name, artwork title, and accession number to discover works on view in the museum. Here you can find a scrollable list of “Recent Acquisitions,"" “Collection Highlights,” and “Top Ten Visitor Favorites.""2. Galleries· Scan: Using innovative image-recognition software, ArtLens App seamlessly recognizes a selection of two-dimensional artworks and provides additional curatorial and interpretive content.· Map: Galleries are color-coded and grouped thematically to facilitate easier navigation. Tap any gallery number to see a gallery description and all artworks in that gallery.· Wayfinding: Push the “Find Me” button at any time to find your exact location in the museum.· Content: Includes every artwork on view, including more than 1,500 videos, available for selected artworks. Changes to any object on view are dynamically and immediately updated from the backend systems across the app and throughout the museum.· Nearby Artworks: Visitor-favorited and featured artworks.· Bluetooth: ArtLens App uses Bluetooth to connect to ArtLens Wall and all interactives in ArtLens Exhibition, making synchronization seamless.3. ToursSelect from ""Featured,"" ""Multimedia,"" ""Themed,"" and Visitor-Created"" tours in ArtLens App. The mapping feature locates specific artworks and navigates the entire tour.4. YouFavorited artworks on the Wall and the App and artworks played in ArtLens Exhibition interactives are automatically saved in ""You.” Favorites can be used to create personalized tours, find specific artworks or share on social media.5. MuseumGet a daily snapshot of events and special exhibitions occurring at the museum as well as the location of restrooms, restaurants and exits. Museum hours of operation are also listed on this page",2580.00,3.90,"Decent, but camera feature doesn't always work so defining! Sweeeeeeeeeet Immersive, informative way to tour the museum by yourself! The actual ArtLens exhibit was underwhelming and the app occasionally crashes, but overall I love the layout, information, and ability to favorite items from the collection.",306.00,26/12/2019,19/03/2021,449.00,43.00,10000.00,4.00,,,,,,,,,,,
https://play.google.com/store/apps/details?id=ca.qc.mbam.mobile,Montreal Museum of Fine Arts,24.00,"The Montreal Museum of Fine Arts offers you a mobile application that can guide you in the discovery of the Museum complex. The app was designed to enhance your experience, and has the following features:-A navigation program that guides you effectively in all of our pavilions and exhibition galleries.-The audioguide for the major exhibition on view, accessible at all times on your smart device. -A free musical audioguide to enrich your visit to the Michal and Renata Hornstein Pavilion for Peace for international art and education. -Access to our collections through geolocalized thematic tours.-Access to your VIP card for faster access to the Museum to get all of the information on your membership. -Information on the exhibitions on view and the cultural activities of the day. Note:-Don’t forget your headphones to use your app for an enriched audio experience as you discover the Museum. -You will need an Internet connection to use your app. The MMFA Wi-Fi network is free and available everywhere in the Museum. -The application will need access to the GPS and location data of your device in order to guide you in the Museum. -It is recommended to update your device regularly",1191.00,2.70,"cannot download the app on the wifi provided. the difference between art and reality, imagination and function. Hopeless. Couldn't connect. Trying to download for an gour now on the museums own WiFi. Nothing.",208.00,18/02/2020,19/03/2021,395.00,35.00,10000.00,5.00,,,,,,,,,,,
https://play.google.com/store/apps/details?id=ask.brooklynmuseum.org,ASK Brooklyn Museum,111.00,"When you’re onsite visiting the Brooklyn Museum, you can use our app to ASK us questions or start a conversation about the work you see on view. You’ll be connected with a team of art historians and educators who know our collection, can help answer questions, and give you recommendations on what to see next.When you use ASK, we use location aware bluetooth sensors to identify which works you are near allowing our staff to better assist you. In addition to bluetooth, our app requires location services, notification services, and wifi for full functionality. Please connect to Brooklyn Museum wifi once you are in the building. The ASK Brooklyn Museum app is supported by Bloomberg Philanthropies",701.00,4.90,"I loved using this app and will definitely use it again. I'm even excited to return to the museum just to get to use the app. I had a question about a photograph title that was keeping me from paying full attention to the photo itself. The curator's answer caused me to look once again and more close...Full ReviewI loved using this app and will definitely use it again. I'm even excited to return to the museum just to get to use the app. I had a question about a photograph title that was keeping me from paying full attention to the photo itself. The curator's answer caused me to look once again and more closely. That second look cleared my question and then I was able to view the photo without puzzlement, and as a result, I saw more of what the photographer was trying to convey. I'm hooked! I like the idea. The historians do a great job of providing useful information about various items in the exhibits. This could potentially be improved if there were some partially automated responses, particularly when doing a scavenger hunt. Kids tend to lose interest when waiting for responses fro...Full ReviewI like the idea. The historians do a great job of providing useful information about various items in the exhibits. This could potentially be improved if there were some partially automated responses, particularly when doing a scavenger hunt. Kids tend to lose interest when waiting for responses from historians during times when there is an increased demand on the historians attention. It's like having. Professional museum guide. you can ask anything - general or specific - and get a great answer - and get a follow-up if you need more info. Response time very quick - and the answer is there on your phone. This a great service! Great app for when you're in a museum and would like to know more about specific pieces. Fast response and easy to use.",1868.00,08/06/2017,19/03/2021,1380.00,8.90,5000.00,5.00,,,,,,,,,,,
